sample,Endo,Eco,Sepal,Petal,Flower,Early_0,Early_100,Early_400,Early_800,Early_sepal,Early_petal,Late_0,Late_100,Late_400,Late_800,Late_sepal,Late_petal
10_0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10-100,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10-400,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
10-800,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10-C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10-D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11-C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11-D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12-C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
12-D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13-C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13-D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14-100,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
14-400,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
14-800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15-0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
15-100,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
15-400,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
15-800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16-100,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16-400,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
16-800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1-800,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
1-C,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1-D,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
2_0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2-100,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2-400,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2-800,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2-C,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2-D,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3-100,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
3-400,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3-800,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
3-C,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
3-D,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
4_0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4-100,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
4-400,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4-800,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
4-C,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4-D,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5_0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
5-100,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
5-400,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5-800,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
5-C,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5-D,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
8_0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
8-100,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
8-400,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
8-800,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8-C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8-D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
9_0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9-100,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
9-400,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9-800,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9-C,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9-D,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
