,Stage,phenotype,genotype
10_0,0,late,A660
10-100,100,late,A660
10-400,400,late,A660
10-800,Bud-800,late,A660
10-C,C,late,A660
10-D,D,late,A660
11-C,C,late,A1267
11-D,D,late,A1267
12-C,C,late,A1267
12-D,D,late,A1267
13-C,C,late,A1267
13-D,D,late,A1267
14-100,100,late,A1267
14-400,400,late,A1267
14-800,Bud-800,late,A1267
15-0,0,late,A1267
15-100,100,late,A1267
15-400,400,late,A1267
15-800,Bud-800,late,A1267
16-100,100,late,A1267
16-400,400,late,A1267
16-800,Bud-800,late,A1267
1-800,Flower-800,early,A2137
1-C,C,early,A2137
1-D,D,early,A2137
2_0,0,early,A2137
2-100,100,early,A2137
2-400,400,early,A2137
2-800,Flower-800,early,A2137
2-C,C,early,A2137
2-D,D,early,A2137
3-100,100,early,A2137
3-400,400,early,A2137
3-800,Flower-800,early,A2137
3-C,C,early,A2137
3-D,D,early,A2137
4_0,0,early,A1956
4-100,100,early,A1956
4-400,400,early,A1956
4-800,Flower-800,early,A1956
4-C,C,early,A1956
4-D,D,early,A1956
5_0,0,early,A1956
5-100,100,early,A1956
5-400,400,early,A1956
5-800,Flower-800,early,A1956
5-C,C,early,A1956
5-D,D,early,A1956
8_0,0,late,A660
8-100,100,late,A660
8-400,400,late,A660
8-800,Bud-800,late,A660
8-C,C,late,A660
8-D,D,late,A660
9_0,0,late,A660
9-100,100,late,A660
9-400,400,late,A660
9-800,Bud-800,late,A660
9-C,C,late,A660
9-D,D,late,A660
