"","Stage","phenotype","genotype","timepoint"
"10_0","1-endo","late","A660","1"
"10-100","1-endo","late","A660","1"
"10-400","1-endo","late","A660","1"
"10-800","2-eco","late","A660","2"
"10-C","3-sepal","late","A660","3"
"10-D","4-pedal","late","A660","4"
"11-C","3-sepal","late","A1267","3"
"11-D","4-pedal","late","A1267","4"
"12-C","3-sepal","late","A1267","3"
"12-D","4-pedal","late","A1267","4"
"13-C","3-sepal","late","A1267","3"
"13-D","4-pedal","late","A1267","4"
"14-100","1-endo","late","A1267","1"
"14-400","1-endo","late","A1267","1"
"14-800","1-endo","late","A1267","1"
"15-0","1-endo","late","A1267","1"
"15-100","1-endo","late","A1267","1"
"15-400","1-endo","late","A1267","1"
"15-800","1-endo","late","A1267","1"
"16-100","1-endo","late","A1267","1"
"16-400","1-endo","late","A1267","1"
"16-800","1-endo","late","A1267","1"
"1-800","5-flower","early","A2137","5"
"1-C","3-sepal","early","A2137","3"
"1-D","4-pedal","early","A2137","4"
"2_0","1-endo","early","A2137","1"
"2-100","1-endo","early","A2137","1"
"2-400","2-eco","early","A2137","2"
"2-800","5-flower","early","A2137","5"
"2-C","3-sepal","early","A2137","3"
"2-D","4-pedal","early","A2137","4"
"3-100","1-endo","early","A2137","1"
"3-400","2-eco","early","A2137","2"
"3-800","5-flower","early","A2137","5"
"3-C","3-sepal","early","A2137","3"
"3-D","4-pedal","early","A2137","4"
"4_0","1-endo","early","A1956","1"
"4-100","1-endo","early","A1956","1"
"4-400","1-endo","early","A1956","1"
"4-800","4-pedal","early","A1956","4"
"4-C","3-sepal","early","A1956","3"
"4-D","4-pedal","early","A1956","4"
"5_0","1-endo","early","A1956","1"
"5-100","1-endo","early","A1956","1"
"5-400","1-endo","early","A1956","1"
"5-800","4-pedal","early","A1956","4"
"5-C","3-sepal","early","A1956","3"
"5-D","4-pedal","early","A1956","4"
"8_0","1-endo","late","A660","1"
"8-100","1-endo","late","A660","1"
"8-400","1-endo","late","A660","1"
"8-800","2-eco","late","A660","2"
"8-C","3-sepal","late","A660","3"
"8-D","4-pedal","late","A660","4"
"9_0","1-endo","late","A660","1"
"9-100","1-endo","late","A660","1"
"9-400","1-endo","late","A660","1"
"9-800","2-eco","late","A660","2"
"9-C","3-sepal","late","A660","3"
"9-D","4-pedal","late","A660","4"
